Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
routines,org.apache.commons.validator.routines.checkdigit,CUSIPCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
routines,org.apache.commons.validator.routines.checkdigit,EAN13CheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; EAN13_CHECK_DIGIT; POSITION_WEIGHT
routines,org.apache.commons.validator.routines.checkdigit,EAN13CheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
routines,org.apache.commons.validator.routines.checkdigit,ECNumberCheckDigit,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MIN_CODE_LEN; serialVersionUID; MAX_ALPHANUMERIC_VALUE; IBAN_CHECK_DIGIT; MAX; MODULUS
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCheckDigit
routines,org.apache.commons.validator.routines.checkdigit,ISBN10CheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ISBN10_CHECK_DIGIT
routines,org.apache.commons.validator.routines.checkdigit,ISBN10CheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
routines,org.apache.commons.validator.routines.checkdigit,ISBNCheckDigit,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines.checkdigit,ISBNCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ISBN10_CHECK_DIGIT; ISBN13_CHECK_DIGIT; ISBN_CHECK_DIGIT
routines,org.apache.commons.validator.routines.checkdigit,ISBNCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCheckDigit
routines,org.apache.commons.validator.routines.checkdigit,ISINCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; MAX_ALPHANUMERIC_VALUE; ISIN_CHECK_DIGIT; POSITION_WEIGHT
routines,org.apache.commons.validator.routines.checkdigit,ISINCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
routines,org.apache.commons.validator.routines.checkdigit,ISSNCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ISSN_CHECK_DIGIT
routines,org.apache.commons.validator.routines.checkdigit,ISSNCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
routines,org.apache.commons.validator.routines.checkdigit,LuhnCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; LUHN_CHECK_DIGIT; POSITION_WEIGHT
routines,org.apache.commons.validator.routines.checkdigit,LuhnCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
routines,org.apache.commons.validator.routines.checkdigit,ModulusCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCheckDigit
routines,org.apache.commons.validator.routines.checkdigit,ModulusCheckDigit,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: ABANumberCheckDigit; CASNumberCheckDigit; CUSIPCheckDigit; EAN13CheckDigit; ECNumberCheckDigit; ISBN10CheckDigit; ISINCheckDigit; ISSNCheckDigit; LuhnCheckDigit; ModulusTenCheckDigit; SedolCheckDigit
routines,org.apache.commons.validator.routines.checkdigit,ModulusTenCheckDigit,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines.checkdigit,SedolCheckDigit,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines.checkdigit,SedolCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; MAX_ALPHANUMERIC_VALUE; SEDOL_CHECK_DIGIT; POSITION_WEIGHT
routines,org.apache.commons.validator.routines.checkdigit,SedolCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
routines,org.apache.commons.validator.routines.checkdigit,VerhoeffCheckDigit,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines.checkdigit,VerhoeffCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; VERHOEFF_CHECK_DIGIT; D_TABLE; P_TABLE; INV_TABLE
routines,org.apache.commons.validator.routines.checkdigit,VerhoeffCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCheckDigit
