Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
validator,org.apache.commons.validator.routines,DomainValidator.Item,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,DomainValidator.LazyHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: DOMAIN_VALIDATOR; DOMAIN_VALIDATOR_WITH_LOCAL
validator,org.apache.commons.validator.routines,DomainValidator.LazyHolder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,DoubleValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,EmailValidator,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: EmailValidator; InetAddressValidator; GenericValidator; UrlValidator; GenericTypeValidator; EmailValidator
validator,org.apache.commons.validator.routines,FloatValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,IBANValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,IBANValidator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MIN_LEN; MAX_LEN; countryCode; otherCountryCodes; regexValidator; ibanLength; SHORT_CODE_LEN; DEFAULT_VALIDATORS; DEFAULT_IBAN_VALIDATOR; validatorMap
validator,org.apache.commons.validator.routines,IBANValidator.Validator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,IBANValidator.Validator,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: MIN_LEN; MAX_LEN; countryCode; otherCountryCodes; regexValidator; ibanLength
validator,org.apache.commons.validator.routines,IntegerValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,ISINValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,ISSNValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,LongValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,PercentValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,ShortValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,TimeValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,TimeValidator,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCalendarValidator
validator,org.apache.commons.validator.routines,UrlValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
