Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
commons-validator,org.apache.commons.validator.routines,EmailValidator,18,0,9,5,153,22,0,0,0.2222222222222222,4,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\EmailValidator.java,23
commons-validator,org.apache.commons.validator.routines,FloatValidator,2,0,14,13,148,20,0,2,0.7857142857142857,1,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\FloatValidator.java,22
commons-validator,org.apache.commons.validator.routines,IBANValidator,10,1,10,9,167,17,0,0,0.2,1,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\IBANValidator.java,27
commons-validator,org.apache.commons.validator.routines,IBANValidator.Validator,6,0,0,0,55,0,0,0,-1.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\IBANValidator.java,53
commons-validator,org.apache.commons.validator.routines,InetAddressValidator,12,0,4,4,159,29,0,0,0.5,5,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\InetAddressValidator.java,28
commons-validator,org.apache.commons.validator.routines,IntegerValidator,2,0,14,13,136,16,0,2,0.7857142857142857,1,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\IntegerValidator.java,22
commons-validator,org.apache.commons.validator.routines,ISBNValidator,13,0,11,11,145,15,0,0,0.18181818181818182,2,3,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\ISBNValidator.java,26
commons-validator,org.apache.commons.validator.routines,ISINValidator,8,0,5,3,65,7,0,0,0.0,1,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\ISINValidator.java,25
commons-validator,org.apache.commons.validator.routines,ISSNValidator,9,0,6,6,103,11,0,0,0.3333333333333333,1,3,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\ISSNValidator.java,25
commons-validator,org.apache.commons.validator.routines,LongValidator,2,0,14,13,133,15,0,2,0.7857142857142857,1,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\LongValidator.java,22
commons-validator,org.apache.commons.validator.routines,PercentValidator,4,0,4,3,61,9,0,3,1.0,1,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\PercentValidator.java,23
commons-validator,org.apache.commons.validator.routines,RegexValidator,2,0,10,9,146,28,0,0,0.5,11,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\RegexValidator.java,24
commons-validator,org.apache.commons.validator.routines,ShortValidator,2,0,14,13,134,15,0,2,0.7857142857142857,1,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\ShortValidator.java,22
commons-validator,org.apache.commons.validator.routines,TimeValidator,2,0,16,15,150,16,0,2,1.0,1,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\TimeValidator.java,25
commons-validator,org.apache.commons.validator.routines,UrlValidator,28,4,18,9,356,52,0,0,0.2222222222222222,2,4,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\UrlValidator.java,31
commons-validator,org.apache.commons.validator.routines,AbstractCalendarValidatorTest,10,0,9,6,139,15,2,0,0.2222222222222222,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\routines\AbstractCalendarValidatorTest.java,38
commons-validator,org.apache.commons.validator.routines,AbstractNumberValidatorTest,21,0,12,10,167,17,8,0,0.16666666666666666,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\routines\AbstractNumberValidatorTest.java,38
commons-validator,org.apache.commons.validator.routines,BigDecimalValidatorTest,0,0,3,2,85,3,0,1,-1.0,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\routines\BigDecimalValidatorTest.java,30
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,0,0,3,2,81,3,0,1,-1.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\routines\BigIntegerValidatorTest.java,30
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,8,0,3,2,91,3,0,1,1.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\routines\ByteValidatorTest.java,29
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,4,0,7,5,189,7,0,1,0.7142857142857143,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\routines\CalendarValidatorTest.java,35
commons-validator,org.apache.commons.validator.routines,CodeValidatorTest,0,0,7,7,172,7,0,0,-1.0,0,3,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\test\java\org\apache\commons\validator\routines\CodeValidatorTest.java,29
