Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatByte,19,4,2,60,0,,
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatCreditCard,3,1,1,93,0,,
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatDate,32,4,2,106,0,,
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatDate,20,4,3,166,0,,
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatDouble,11,2,1,212,0,,
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatDouble,18,4,2,231,0,,
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatFloat,11,2,1,263,0,,
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatFloat,18,4,2,282,0,,
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatInt,11,2,1,314,0,,
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatInt,19,4,2,333,0,,
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatLong,11,2,1,366,0,,
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatLong,19,4,2,385,0,,
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatShort,11,2,1,418,0,,
commons-validator,org.apache.commons.validator,GenericTypeValidator,formatShort,19,4,2,437,0,,
commons-validator,org.apache.commons.validator,GenericValidator,adjustForLineEnding,14,4,2,45,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isBlankOrNull,3,1,1,69,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isByte,3,1,1,81,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isCreditCard,3,1,1,91,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isDate,3,1,2,100,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isDate,3,1,3,114,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isDouble,3,1,1,131,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isEmail,3,1,1,141,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isFloat,3,1,1,151,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isInRange,3,1,3,161,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isInRange,3,1,3,174,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isInRange,3,1,3,187,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isInRange,3,1,3,200,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isInRange,3,1,3,213,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isInRange,3,1,3,226,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isInt,3,1,1,239,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isLong,3,1,1,249,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isShort,3,1,1,259,0,,
commons-validator,org.apache.commons.validator,GenericValidator,isUrl,3,1,1,269,0,,
commons-validator,org.apache.commons.validator,GenericValidator,matchRegexp,6,2,2,281,0,,
commons-validator,org.apache.commons.validator,GenericValidator,maxLength,3,1,2,296,0,,
commons-validator,org.apache.commons.validator,GenericValidator,maxLength,4,1,3,307,0,org.apache.commons.validator.GenericValidator,org.apache.commons.validator.GenericValidator
commons-validator,org.apache.commons.validator,GenericValidator,maxValue,3,1,2,320,0,,
commons-validator,org.apache.commons.validator,GenericValidator,maxValue,3,1,2,331,0,,
commons-validator,org.apache.commons.validator,GenericValidator,maxValue,3,1,2,344,0,,
commons-validator,org.apache.commons.validator,GenericValidator,maxValue,3,1,2,355,0,,
commons-validator,org.apache.commons.validator,GenericValidator,minLength,3,1,2,366,0,,
commons-validator,org.apache.commons.validator,GenericValidator,minLength,4,1,3,377,0,org.apache.commons.validator.GenericValidator,org.apache.commons.validator.GenericValidator
commons-validator,org.apache.commons.validator,GenericValidator,minValue,3,1,2,390,0,,
commons-validator,org.apache.commons.validator,GenericValidator,minValue,3,1,2,401,0,,
commons-validator,org.apache.commons.validator,GenericValidator,minValue,3,1,2,412,0,,
commons-validator,org.apache.commons.validator,GenericValidator,minValue,3,1,2,423,0,,
commons-validator,org.apache.commons.validator,ISBNValidator,ISBNValidator,2,1,0,34,0,,
commons-validator,org.apache.commons.validator,ISBNValidator,isValid,3,1,1,40,0,,
commons-validator,org.apache.commons.validator,Msg,clone,8,1,0,57,0,,
commons-validator,org.apache.commons.validator,Msg,getBundle,3,1,0,71,0,,
commons-validator,org.apache.commons.validator,Msg,getKey,3,1,0,80,0,,
commons-validator,org.apache.commons.validator,Msg,getName,3,1,0,88,0,,
commons-validator,org.apache.commons.validator,Msg,isResource,3,1,0,96,0,,
commons-validator,org.apache.commons.validator,Msg,setBundle,3,1,1,105,0,,
commons-validator,org.apache.commons.validator,Msg,setKey,3,1,1,114,0,,
commons-validator,org.apache.commons.validator,Msg,setName,3,1,1,122,0,,
commons-validator,org.apache.commons.validator,Msg,setResource,3,1,1,130,0,,
commons-validator,org.apache.commons.validator,Msg,toString,13,1,0,139,0,,
commons-validator,org.apache.commons.validator,UrlValidator,UrlValidator,3,1,0,185,0,,
commons-validator,org.apache.commons.validator,UrlValidator,UrlValidator,3,1,1,192,0,,
commons-validator,org.apache.commons.validator,UrlValidator,UrlValidator,3,1,1,202,0,,
commons-validator,org.apache.commons.validator,UrlValidator,UrlValidator,10,3,2,214,0,,
commons-validator,org.apache.commons.validator,UrlValidator,countToken,12,3,2,235,0,,
commons-validator,org.apache.commons.validator,UrlValidator,isValid,28,9,1,254,0,org.apache.commons.validator.UrlValidator,org.apache.commons.validator.UrlValidator
commons-validator,org.apache.commons.validator,UrlValidator,isValidAuthority,61,15,1,298,0,,
commons-validator,org.apache.commons.validator,UrlValidator,isValidFragment,6,2,1,390,0,,
commons-validator,org.apache.commons.validator,UrlValidator,isValidPath,18,5,1,403,0,org.apache.commons.validator.UrlValidator,org.apache.commons.validator.UrlValidator
commons-validator,org.apache.commons.validator,UrlValidator,isValidQuery,6,2,1,431,0,,
commons-validator,org.apache.commons.validator,UrlValidator,isValidScheme,12,4,1,444,0,,
commons-validator,org.apache.commons.validator,Validator,Validator,3,1,1,136,0,,
commons-validator,org.apache.commons.validator,Validator,Validator,7,2,2,148,0,,
commons-validator,org.apache.commons.validator,Validator,Validator,8,2,3,166,0,,
commons-validator,org.apache.commons.validator,Validator,clear,6,1,0,187,0,,
commons-validator,org.apache.commons.validator,Validator,getClassLoader,12,4,0,203,0,,
commons-validator,org.apache.commons.validator,Validator,getFormName,3,1,0,229,0,,
commons-validator,org.apache.commons.validator,Validator,getOnlyReturnErrors,3,1,0,237,0,,
commons-validator,org.apache.commons.validator,Validator,getPage,3,1,0,245,0,,
commons-validator,org.apache.commons.validator,Validator,getParameterValue,3,1,1,260,0,,
commons-validator,org.apache.commons.validator,Validator,getUseContextClassLoader,3,1,0,272,0,,
commons-validator,org.apache.commons.validator,Validator,setClassLoader,3,1,1,280,0,,
commons-validator,org.apache.commons.validator,Validator,setFieldName,3,1,1,291,0,,
commons-validator,org.apache.commons.validator,Validator,setFormName,3,1,1,301,0,,
commons-validator,org.apache.commons.validator,Validator,setOnlyReturnErrors,3,1,1,309,0,,
commons-validator,org.apache.commons.validator,Validator,setPage,3,1,1,319,0,,
commons-validator,org.apache.commons.validator,Validator,setParameter,3,1,2,333,0,,
commons-validator,org.apache.commons.validator,Validator,setUseContextClassLoader,3,1,1,346,0,,
commons-validator,org.apache.commons.validator,Validator,validate,13,3,0,359,0,org.apache.commons.validator.Validator,org.apache.commons.validator.Validator
commons-validator,org.apache.commons.validator,ValidatorAction,executeValidationMethod,48,8,4,137,0,org.apache.commons.validator.ValidatorAction,org.apache.commons.validator.ValidatorAction
commons-validator,org.apache.commons.validator,ValidatorAction,formatJavaScriptFileName,7,2,0,211,0,,
commons-validator,org.apache.commons.validator,ValidatorAction,generateJsFunction,7,1,0,224,0,,
commons-validator,org.apache.commons.validator,ValidatorAction,getClassLoader,4,1,1,237,0,org.apache.commons.validator.ValidatorAction,org.apache.commons.validator.ValidatorAction
commons-validator,org.apache.commons.validator,ValidatorAction,getClassname,3,1,0,245,0,,
